"Año","Mes","Provincia","Tramo de edad Víctima","Tramo de edad Agresor","Número de mujeres víctimas mortales"
"Año 2007","Noviembre","Girona","61-70 años","61-70 años","1.0"
"Año 2007","Noviembre","Tarragona","51-60 años","41-50 años","1.0"
"Año 2007","Noviembre","Alicante/Alacant","21-30 años","21-30 años","1.0"
"Año 2007","Noviembre","Madrid","21-30 años","21-30 años","1.0"
"Año 2007","Diciembre","Pontevedra","41-50 años","31-40 años","1.0"
"Año 2008","Enero","Málaga","41-50 años","51-60 años","1.0"
"Año 2008","Enero","Alicante/Alacant","21-30 años","21-30 años","1.0"
"Año 2008","Enero","Pontevedra","51-60 años","61-70 años","1.0"
"Año 2008","Enero","Madrid","21-30 años","21-30 años","1.0"
"Año 2008","Enero","Madrid","41-50 años","31-40 años","1.0"
"Año 2008","Enero","Murcia","51-60 años","51-60 años","1.0"
"Año 2008","Enero","Navarra","18-20 años","21-30 años","1.0"
"Año 2008","Febrero","Cádiz","41-50 años","51-60 años","1.0"
"Año 2008","Febrero","Santa Cruz de Tenerife","41-50 años","41-50 años","1.0"
"Año 2008","Febrero","Valladolid","51-60 años","51-60 años","1.0"
"Año 2008","Febrero","Guadalajara","41-50 años","41-50 años","1.0"
"Año 2008","Febrero","Valencia/València","41-50 años","41-50 años","1.0"
"Año 2008","Febrero","Valencia/València","41-50 años","51-60 años","1.0"
"Año 2008","Febrero","Madrid","21-30 años","21-30 años","1.0"
"Año 2008","Febrero","Madrid","41-50 años","41-50 años","1.0"
"Año 2008","Marzo","Almería","51-60 años","51-60 años","1.0"
"Año 2008","Marzo","Burgos","51-60 años","61-70 años","1.0"
"Año 2008","Marzo","Barcelona","21-30 años","21-30 años","1.0"
"Año 2008","Marzo","Alicante/Alacant","41-50 años","41-50 años","1.0"
"Año 2008","Abril","Huesca","21-30 años","21-30 años","1.0"
"Año 2008","Abril","Guadalajara","31-40 años","31-40 años","1.0"
"Año 2008","Abril","Alicante/Alacant","16-17 años","21-30 años","1.0"
"Año 2008","Abril","Alicante/Alacant","18-20 años","31-40 años","1.0"
"Año 2008","Abril","Madrid","31-40 años","31-40 años","1.0"
"Año 2008","Mayo","Cádiz","61-70 años","71-84 años","1.0"
"Año 2008","Mayo","Zamora","31-40 años","41-50 años","1.0"
"Año 2008","Mayo","Barcelona","31-40 años","31-40 años","1.0"
"Año 2008","Junio","Córdoba","71-84 años","71-84 años","1.0"
"Año 2008","Junio","Barcelona","51-60 años","41-50 años","1.0"
"Año 2008","Junio","Girona","21-30 años","31-40 años","1.0"
"Año 2008","Junio","Madrid","31-40 años","31-40 años","1.0"
"Año 2008","Junio","La Rioja","21-30 años","31-40 años","1.0"
"Año 2008","Julio","Asturias","31-40 años","41-50 años","1.0"
"Año 2008","Julio","Barcelona","31-40 años","31-40 años","1.0"
"Año 2008","Julio","Madrid","31-40 años","41-50 años","1.0"
"Año 2008","Julio","Murcia","31-40 años","41-50 años","1.0"
"Año 2008","Julio","La Rioja","41-50 años","51-60 años","1.0"
"Año 2008","Agosto","Santa Cruz de Tenerife","21-30 años","41-50 años","1.0"
"Año 2008","Agosto","Salamanca","18-20 años","18-20 años","1.0"
"Año 2008","Agosto","Girona","18-20 años","31-40 años","1.0"
